event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
UGA6559,2021-02-08,2021,2,Political violence,Riots,Mob violence,Rioters (Uganda),NRM: National Resistance Movement,Rioters,Rioters (Uganda),NUP: National Unity Platform; Teachers (Uganda),Rioters,Rioters-Rioters,,800,Eastern Africa,Uganda,Mbale,Mbale,Northern Division,Mbale,1.0806,34.175,1,Independent (Uganda); URN (Uganda),National,"Around 8 February 2021 (as reported), a fight broke out between NRM supporters and supporters of an independent candidate at Buyonjo Primary School polling station in Mbale (Mbale Municipality, Mbale). The NRM candidate and his supporters accused the polling officials for opening the polling station without the ten witnesses as stipulated by the electoral commission laws and assaulted the head teacher of the school hosting the polling station, accusing him of voter bribery. At a nearby station, the same group started another fight and the NRM group was pushed out of the station by NUP supporters. One person was reportedly injured and hospitalised.",0,crowd size=no report,1739238852
UGA6724,2021-02-07,2021,1,Political violence,Violence against civilians,Attack,Unidentified Armed Group (Uganda),,Political militia,Civilians (Uganda),Journalists (Uganda),Civilians,Political militia-Civilians,Civilian targeting,800,Eastern Africa,Uganda,Kampala,Kampala,Kawempe Division,Kanyanya,0.3831,32.57,1,All Africa; Daily Express (Uganda); Vanguard Africa,Other-National,"On 7 February 2021, unidentified men attacked, tortured and killed a journalist in Kanyanya (Kampala Capital City, Kampala). He reportedly covered the NUP court filing, challenging the claimed election victory of President Museveni.",1,,1715641940
UGA6723,2021-02-06,2021,2,Political violence,Violence against civilians,Abduction/forced disappearance,Unidentified Armed Group (Uganda),,Political militia,Civilians (Uganda),,Civilians,Political militia-Civilians,Civilian targeting,800,Eastern Africa,Uganda,Mityana,Mityana,Ttamu Division,Tamu,0.3853,32.1031,2,Daily Monitor (Uganda),National,"Around 6 February 2021 (as reported), unidentified men abducted 3 people from Wabigalo Village, Tamu Division, coded to Tamu (Mityana, Mityana). The abductions were connected to kidnappings and attacks on opposition supporters during the election.",0,,1667943765
UGA6557,2021-02-06,2021,1,Political violence,Violence against civilians,Attack,Unidentified Armed Group (Uganda),,Political militia,Civilians (Uganda),Journalists (Uganda),Civilians,Political militia-Civilians,Civilian targeting,800,Eastern Africa,Uganda,Kampala,Kampala,Kawempe Division,Kanyanya,0.3831,32.57,1,Bukedde Online; New Vision (Uganda),Subnational-National,"On 6 February 2021, a journalist was reportedly attacked and killed by unidentified men in Kanyanya (Kampala Capital District, Kampala).",1,,1715641940
UGA6556,2021-02-05,2021,1,Demonstrations,Protests,Peaceful protest,Protesters (Uganda),,Protesters,,,,Protesters only,,800,Eastern Africa,Uganda,Napak,Bokora,Matany,Kokeris,2.3676,34.4165,1,URN (Uganda); Independent (Uganda),National,"On 5 February 2021, residents and youths protested in Kokeris village, the junction to Matany trading centre (Bokora, Napak) over the increase killings of people in the last few weeks. People carried cardboard reading 'Napak is bleeding', 'End Gun Violence,' and #KaramojaLivesMatter.",0,crowd size=no report,1667868636
UGA6549,2021-02-05,2021,2,Political violence,Violence against civilians,Attack,Police Forces of Uganda (1986-),,State forces,Civilians (Uganda),,Civilians,State forces-Civilians,Civilian targeting,800,Eastern Africa,Uganda,Kampala,Kampala,Kawempe Division,Kamwokya,0.3456,32.5819,1,URN (Uganda),National,"Around 5 February 2021, a police officer shot two civilians in Kamwokya (Kampala Capital City, Kampala). One civilian was killed and the other one was injured.",1,,1710202865
UGA6555,2021-02-03,2021,2,Political violence,Riots,Mob violence,Rioters (Uganda),NUP: National Unity Platform,Rioters,,,,Rioters only,,800,Eastern Africa,Uganda,Ssembabule,Mawogola,Sembabule Town Council,Sembabule,-0.0819,31.4611,2,Independent (Uganda); URN (Uganda),National,"Around 3 February 2021 (week of), NUP members rioted at Kabundi polling station in Mateete sub county, coded to Sembabule (Mawogola, Ssembabule), confiscated election materials, vandalized the boxes, and tore all the ballot papers, amid accusations of ballot stuffing in favor of the NRM.",0,crowd size=no report,1667868636
UGA6554,2021-02-03,2021,1,Political violence,Violence against civilians,Attack,Karamojong Ethnic Militia (Uganda),Pokot Ethnic Militia (Kenya),Identity militia,Civilians (Uganda),Labor Group (Uganda),Civilians,Identity militia-Civilians,Civilian targeting,800,Eastern Africa,Uganda,Moroto,Matheniko,Katikekile,Rupa,2.5922,34.7631,2,Chimp Reports,National,"On 3 February 2021, armed men suspected to be Karamajong worriers and their Pokot counterparts from neighboring Kenya attacked Natumkasikou village, Rupa subcounty, coded to Rupa (Matheniko, Moroto), raided a local shop and shot and injured a business man.",0,,1739238852
UGA6548,2021-02-01,2021,1,Political violence,Battles,Armed clash,Military Forces of Uganda (1986-),,State forces,Jie Ethnic Militia (Uganda),,Identity militia,State forces-Identity militia,,800,Eastern Africa,Uganda,Moroto,Moroto,Northern Division,Moroto,2.5329,34.6575,1,Daily Monitor (Uganda),National,"On 1 February 2021, Uganda People's Defense Force attacked Jie militants with stolen cattle in Moroto (Moroto Municipality, Moroto) during the raid of hundreds of cattle. There was a serious fire exchange and one soldier was wounded.",0,,1736846020
UGA6553,2021-01-31,2021,1,Political violence,Violence against civilians,Attack,Napak Communal Militia (Uganda),Pastoralists (Uganda),Identity militia,Civilians (Uganda),Ngoleriet Communal Group (Uganda),Civilians,Identity militia-Civilians,Civilian targeting,800,Eastern Africa,Uganda,Napak,Bokora,Ngoleriet,Kangole,2.4667,34.4667,2,New Vision (Uganda),National,"On 31 January 2021, a communal militia of about 30 armed men attacked the home of a man in Ngoleriet Sub-county coded to Kangole (Bokora, Napak) and stole 30 goats. The also shot dead the parish chief.",1,,1667868636
UGA6546,2021-01-31,2021,1,Political violence,Violence against civilians,Abduction/forced disappearance,Unidentified Armed Group (Uganda),,Political militia,Civilians (Uganda),NUP: National Unity Platform,Civilians,Political militia-Civilians,Civilian targeting,800,Eastern Africa,Uganda,Gulu,Gulu,Pece Division,Gulu,2.7667,32.3056,1,New Vision (Uganda),National,"On 31 January 2021, a candidate for the Parliament from the National Unity Platform (NUP) went missing after camping in Gulu (Gulu Municipality, Gulu), during the presidential elections period.",0,,1667943765
UGA6601,2021-01-31,2021,1,Political violence,Riots,Mob violence,Rioters (Uganda),Vigilante Group (Uganda),Rioters,,,,Rioters only,,800,Eastern Africa,Uganda,Gulu,Gulu,Pece Division,Gulu,2.7667,32.3056,1,URN (Uganda),National,"On 31 January 2021, rioters in Gulu city (Gulu Municipality, Gulu) demolished a house belonging to a woman accused of hosting street children who have been terrorizing the area.",0,crowd size=no report,1667943765
UGA6547,2021-01-31,2021,2,Political violence,Violence against civilians,Abduction/forced disappearance,Unidentified Armed Group (Uganda),,Political militia,Civilians (Uganda),,Civilians,Political militia-Civilians,Civilian targeting,800,Eastern Africa,Uganda,Kibaale,Buyanja,Kasimbi,Kyebando,0.9,31.0667,1,AP; Chimp Reports; Daily Monitor (Uganda); New Vision (Uganda),National-International,"Around 31 January 2021, 11 civilians were kidnapped in Kyebando (Buyanja, Kibaale) during the presidential elections period. The Minister for Internal Affairs told Parliament that around 31 people were kidnapped in Masaka and Kampala Metropolitan area.",0,,1731979405
UGA6678,2021-01-30,2021,1,Political violence,Violence against civilians,Abduction/forced disappearance,Police Forces of Uganda (1986-),,State forces,Civilians (Uganda),NUP: National Unity Platform,Civilians,State forces-Civilians,Civilian targeting,800,Eastern Africa,Uganda,Luwero,Katikamu,Nyimbwa,Ndejje,0.6075,32.4772,2,Facebook,New media,"On 30 January 2021, police driving in a so-called 'drone' (van) abducted a NUP supporter in Ndejje (Luwero, Katikamu). According to his wife, the men searched the house and found posters of NUP candidate Bobi Wine before they took him.",0,,1733203944
UGA6539,2021-01-29,2021,2,Demonstrations,Protests,Peaceful protest,Protesters (Uganda),Police Forces of Uganda (1986-),Protesters,,,,Protesters only,,800,Eastern Africa,Uganda,Rukiga,Bunyangabu,Kibiito Town Council,Kabale,0.4667,30.2,1,Chimp Reports,National,"Around 29 January 2021 (as reported), special police constables held a protest in Kabale (Bunyangabu, Bunyangabu) demanding unpaid allowances accumulated from the recent electoral activities.",0,crowd size=over200,1667868636
UGA6600,2021-01-29,2021,1,Political violence,Violence against civilians,Attack,Napak Communal Militia (Uganda),,Identity militia,Civilians (Uganda),,Civilians,Identity militia-Civilians,Civilian targeting,800,Eastern Africa,Uganda,Napak,Bokora,Ngoleriet,Kangole,2.4667,34.4667,2,URN (Uganda),National,"On 29 January 2021, Napak armed warriors killed a person in Kalotom village in Ngoleriet Sub County, coded to Kangole (Bokora, Napak).",1,,1667868636
UGA6599,2021-01-28,2021,2,Political violence,Riots,Mob violence,Rioters (Uganda),Vigilante Group (Uganda),Rioters,Civilians (Uganda),,Civilians,Rioters-Civilians,Civilian targeting,800,Eastern Africa,Uganda,Lwengo,Bukoto,Lwengo,Lwengo,-0.4161,31.4081,3,URN (Uganda),National,"Around 28 January 2021 (as reported), an angry mob attacked the home of a man suspected to be behind the killing of a girl, looted his animals and property in Kisekka sub-county, coded to Lwengo (Bukoto, Lwengo). The suspect was able to escape the mob and seek refuge in a police station.",0,crowd size=no report,1667868637
UGA6552,2021-01-27,2021,2,Political violence,Violence against civilians,Abduction/forced disappearance,Unidentified Armed Group (Uganda),,Political militia,Civilians (Uganda),,Civilians,Political militia-Civilians,Civilian targeting,800,Eastern Africa,Uganda,Kampala,Kampala,Kawempe Division,Bwaise,0.3508,32.5669,1,Independent (Uganda); URN (Uganda),National,"Around 27 January 2021 (week of), a resident of Bishop Mukwaya in Bwaise (Kampala Capital City, Kampala) was abducted and tortured by unidentified men. He was dropped of a few days later by his abductors.",0,,1715641940
UGA6598,2021-01-26,2021,2,Political violence,Violence against civilians,Attack,Police Forces of Uganda (1986-),,State forces,Civilians (Uganda),FDC: Forum for Democratic Change; Government of Uganda (1986-),Civilians,State forces-Civilians,Civilian targeting,800,Eastern Africa,Uganda,Buikwe,Lugazi,Central Division,Lugazi,0.3772,32.9197,1,URN (Uganda),National,"Around 26 January 2021 (as reported), police used teargas and live bullets to disperse a procession in Lugazi (Lugazi Municipality, Buikwe) organized by the FDC winner of the Lugazi municipality mayoral elections.",0,,1712095453
UGA6722,2021-01-26,2021,2,Political violence,Violence against civilians,Attack,Police Forces of Uganda (1986-),,State forces,Civilians (Uganda),NUP: National Unity Platform; Prisoners (Uganda),Civilians,State forces-Civilians,Civilian targeting,800,Eastern Africa,Uganda,Kampala,Kampala,Kawempe Division,Mulago,0.35,32.5833,1,Twitter; Vanguard Africa,Other-New media,"Around 26 January 2021 (as reported), a NUP supporter was abducted by security forces, extremely tortured, and two weeks later dropped off at Mulago mortuary (Kampala Capital City, Kampala) while unconscious.",0,,1715049812
UGA6537,2021-01-26,2021,1,Political violence; Demonstrations,Protests,Excessive force against protesters,Protesters (Uganda),DP: Democratic Party (Uganda); NRM: National Resistance Movement,Protesters,Military Forces of Uganda (1986-),Police Forces of Uganda (1986-),State forces,State forces-Protesters,Civilian targeting,800,Eastern Africa,Uganda,Wakiso,Entebbe,Division A,Entebbe,0.0561,32.4794,1,Bukedde Online; Chimp Reports; Daily Monitor (Uganda); GardaWorld; URN (Uganda); Weekly Observer,Other-National,"On 26 January 2021, a joint force of Ugandan soldiers and police fired teargas and bullets to disperse protesters in Entebbe (Entebbe Municipality, Wakiso) and Wakiso (coded separately), killing one protester, a NRM chairman, and seriously injuring two. Protests were led by the National Resistance Movement (NRM) and Democratic Party (DP).",1,crowd size=no report,1734466548
UGA6538,2021-01-26,2021,1,Political violence; Demonstrations,Protests,Excessive force against protesters,Protesters (Uganda),DP: Democratic Party (Uganda); NRM: National Resistance Movement,Protesters,Military Forces of Uganda (1986-),Police Forces of Uganda (1986-),State forces,State forces-Protesters,Civilian targeting,800,Eastern Africa,Uganda,Wakiso,Busiro,Wakiso Town Council,Wakiso,0.4044,32.4594,1,Chimp Reports; Daily Monitor (Uganda); URN (Uganda); Weekly Observer,National,"On 26 January 2021, a joint force of Ugandan soldiers and police fired teargas and bullets to disperse protesters, supported by NRM and DP, in Wakiso (Busiro, Wakiso) and Entebbe (coded separately). Three people were severely injured and went to the hospital.",0,crowd size=no report,1740447662
UGA6535,2021-01-25,2021,1,Political violence,Violence against civilians,Attack,Military Forces of Uganda (1986-),Police Forces of Uganda (1986-),State forces,Civilians (Uganda),Journalists (Uganda),Civilians,State forces-Civilians,Civilian targeting,800,Eastern Africa,Uganda,Wakiso,Entebbe,Division A,Entebbe,0.0561,32.4794,1,Daily Monitor (Uganda),National,"On 25 January 2021, soldiers of Uganda People's Defence Forces (UPDF) and other security operatives attacked a journalist during elections in Banga-Nakiwogo polling station in Entebbe (Entebbe Municipality, Wakiso). The forces grabbed voter registers from a number of polling agents and took over management of the mayoral elections. No fatalities/injuries reported.",0,,1734466548
UGA6536,2021-01-25,2021,1,Political violence,Riots,Mob violence,Rioters (Uganda),,Rioters,Rioters (Uganda),,Rioters,Rioters-Rioters,,800,Eastern Africa,Uganda,Mbale,Mbale,Northern Division,Mbale,1.0806,34.175,1,Daily Monitor (Uganda),National,"On 25 January 2021, police used tear gas against civilians in Mbale (Mbale Municipality, Mbale), after a fight broke during elections. No fatalities and/or injuries reported.",0,crowd size=no report,1739238852
UGA6597,2021-01-24,2021,1,Political violence,Riots,Mob violence,Rioters (Uganda),Vigilante Group (Uganda),Rioters,Civilians (Uganda),,Civilians,Rioters-Civilians,Civilian targeting,800,Eastern Africa,Uganda,Mbarara,Kashari,Bubaare,Kabwohe/Itendero,-0.6192,30.4436,2,URN (Uganda),National,"On 24 January 2021, a group attempted to lynch a suspected thief in Kanaba village in Bubaare trading center, coded to Kabwohe/Itendero (Kashari, Mbarara). A man defending the suspected thief was armed with a machete and appeared threatening to the officers, who then shot and killed him.",1,crowd size=no report,1667868637
UGA6545,2021-01-24,2021,1,Political violence,Violence against civilians,Abduction/forced disappearance,Unidentified Armed Group (Uganda),,Political militia,Civilians (Uganda),,Civilians,Political militia-Civilians,Civilian targeting,800,Eastern Africa,Uganda,Wakiso,Kira,Namugongo Division,Kireka,0.3475,32.6492,1,Daily Monitor (Uganda); New Vision (Uganda),National,"On 24 January 2021, a civilian was kidnapped by unidentified armed men in Kireka (Kira Municipality, Wakiso) during the presidential elections period.",0,,1715049811
UGA6533,2021-01-22,2021,2,Demonstrations,Protests,Peaceful protest,Protesters (Uganda),Police Forces of Uganda (1986-),Protesters,,,,Protesters only,,800,Eastern Africa,Uganda,Hoima,Hoima,Kahoora Divison,Hoima,1.4356,31.3436,1,Independent (Uganda); URN (Uganda),National,"Around 22 January 2021 (as reported), police officers protested and stormed the Hoima city Electoral Commission offices in Kijungu, in Hoima city (Hoima Municipality, Hoima), demanding for the payment of their allowances.",0,crowd size=no report,1667943765
